Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1624580081,4/14/2016,9107,5.920000076,5.920000076,0,0,0,5.909999847,0.01,0,0,236,1204,1572,1,398,422
1624580081,4/15/2016,1510,0.980000019,0.980000019,0,0,0,0.970000029,0,0,0,96,1344,1344,2,475,499
1624580081,4/16/2016,5370,3.49000001,3.49000001,0,0,0,3.49000001,0,0,0,176,1264,1463,1,296,315
1624580081,4/17/2016,6175,4.059999943,4.059999943,0,1.029999971,1.519999981,1.49000001,0.01,15,22,127,1276,1554,1,166,178
1624580081,4/18/2016,10536,7.409999847,7.409999847,0,2.150000095,0.620000005,4.619999886,0.01,17,7,202,1214,1604,1,503,546
1624580081,4/19/2016,2916,1.899999976,1.899999976,0,0,0,1.899999976,0,0,0,141,1299,1435,1,531,565
1624580081,4/20/2016,4974,3.230000019,3.230000019,0,0,0,3.230000019,0,0,0,151,1289,1446,1,545,568
1624580081,4/21/2016,6349,4.130000114,4.130000114,0,0,0,4.110000134,0.02,0,0,186,1254,1467,1,523,573
1624580081,4/22/2016,4026,2.619999886,2.619999886,0,0,0,2.599999905,0,0,0,199,1241,1470,1,524,567
1624580081,4/23/2016,8538,5.550000191,5.550000191,0,0,0,5.539999962,0.01,0,0,227,1213,1562,1,437,498
1624580081,4/24/2016,6076,3.950000048,3.950000048,0,1.149999976,0.910000026,1.889999986,0,16,18,185,1221,1617,1,498,540
1624580081,4/25/2016,6497,4.21999979,4.21999979,0,0,0,4.199999809,0.02,0,0,202,1238,1492,1,461,510
1624580081,4/26/2016,2826,1.840000033,1.840000033,0,0,0,1.830000043,0.01,0,0,140,1300,1402,1,477,514
1624580081,4/27/2016,8367,5.440000057,5.440000057,0,1.110000014,1.870000005,2.460000038,0,17,36,154,1233,1670,1,520,545
1624580081,4/28/2016,2759,1.789999962,1.789999962,0,0,0.200000003,1.600000024,0,0,5,115,1320,1401,1,522,554
1624580081,4/29/2016,2390,1.549999952,1.549999952,0,0,0,1.549999952,0,0,0,150,1290,1404,1,555,591
1624580081,4/30/2016,6474,4.300000191,4.300000191,0,0.899999976,1.279999971,2.119999886,0.01,11,23,224,1182,1655,1,506,531
1624580081,5/1/2016,36019,28.03000069,28.03000069,0,21.92000008,4.190000057,1.909999967,0.02,186,63,171,1020,2690,1,508,545
1624580081,5/2/2016,7155,4.929999828,4.929999828,0,0.860000014,0.589999974,3.470000029,0,7,6,166,1261,1497,1,513,545
1624580081,5/3/2016,2100,1.370000005,1.370000005,0,0,0,1.340000033,0.02,0,0,96,1344,1334,1,490,510
1624580081,5/4/2016,2193,1.429999948,1.429999948,0,0,0,1.419999957,0,0,0,118,1322,1368,1,573,607
1624580081,5/5/2016,2470,1.610000014,1.610000014,0,0,0,1.580000043,0.02,0,0,117,1323,1370,1,527,546
1624580081,5/6/2016,1727,1.120000005,1.120000005,0,0,0,1.120000005,0.01,0,0,102,1338,1341,1,511,543
1624580081,5/7/2016,2104,1.370000005,1.370000005,0,0,0,1.370000005,0,0,0,182,1258,1474,1,538,560
1624580081,5/8/2016,3427,2.230000019,2.230000019,0,0,0,2.220000029,0,0,0,152,1288,1427,1,468,485
1624580081,5/9/2016,1732,1.129999995,1.129999995,0,0,0,1.129999995,0,0,0,91,1349,1328,1,524,548
1624580081,5/10/2016,2969,1.929999948,1.929999948,0,0,0,1.919999957,0.01,0,0,139,1301,1393,1,511,521
1624580081,5/11/2016,3134,2.039999962,2.039999962,0,0,0,2.039999962,0,0,0,112,1328,1359,1,541,568
1624580081,5/12/2016,2971,1.929999948,1.929999948,0,0,0,1.919999957,0.01,0,0,107,890,1002,1,531,556
1644430081,4/12/2016,10694,7.769999981,7.769999981,0,0.140000001,2.299999952,5.329999924,0,2,51,256,1131,3199,1,357,380
1644430081,4/13/2016,8001,5.820000172,5.820000172,0,2.279999971,0.899999976,2.640000105,0,30,16,135,1259,2902,1,523,553
1644430081,4/14/2016,11037,8.020000458,8.020000458,0,0.360000014,2.559999943,5.099999905,0,5,58,252,1125,3226,1,456,485
1644430081,4/15/2016,5263,3.829999924,3.829999924,0,0.219999999,0.150000006,3.450000048,0,3,4,170,1263,2750,1,61,69
1644430081,4/16/2016,15300,11.11999989,11.11999989,0,4.099999905,1.879999995,5.090000153,0,51,42,212,1135,3493,1,467,531
1644430081,4/17/2016,8757,6.369999886,6.369999886,0,2.25,0.569999993,3.549999952,0,29,13,186,1212,3011,1,445,489
1644430081,4/18/2016,7132,5.190000057,5.190000057,0,1.070000052,1.669999957,2.450000048,0,15,33,121,1271,2806,1,452,504
1644430081,4/19/2016,11256,8.180000305,8.180000305,0,0.360000014,2.529999971,5.300000191,0,5,58,278,1099,3300,1,556,602
1644430081,4/20/2016,2436,1.769999981,1.769999981,0,0,0,1.75999999,0.01,0,0,125,1315,2430,1,500,557
1644430081,4/21/2016,1223,0.889999986,0.889999986,0,0,0,0.879999995,0.01,0,0,38,1402,2140,1,465,514
1644430081,4/22/2016,3673,2.670000076,2.670000076,0,0,0,2.660000086,0.01,0,0,86,1354,2344,1,460,484
1644430081,4/23/2016,6637,4.829999924,4.829999924,0,0,0.579999983,4.25,0,0,15,160,1265,2677,1,405,461
1644430081,4/24/2016,3321,2.410000086,2.410000086,0,0,0,2.410000086,0,0,0,89,1351,2413,1,374,386
1644430081,4/25/2016,3580,2.599999905,2.599999905,0,0.589999974,0.059999999,1.950000048,0,8,1,94,1337,2497,1,442,459
1644430081,4/26/2016,9919,7.210000038,7.210000038,0,0.800000012,1.720000029,4.690000057,0,11,41,223,1165,3123,1,433,471
1644430081,4/27/2016,3032,2.200000048,2.200000048,0,0,0,2.200000048,0,0,0,118,1322,2489,1,436,490
1644430081,4/28/2016,9405,6.840000153,6.840000153,0,0.200000003,2.319999933,4.309999943,0,3,53,227,1157,3108,1,448,499
1644430081,4/29/2016,3176,2.309999943,2.309999943,0,0,0,2.309999943,0,0,0,120,1193,2498,1,408,450
1644430081,4/30/2016,18213,13.23999977,13.23999977,0,0.629999995,3.140000105,9.460000038,0,9,71,402,816,3846,1,411,473
1644430081,5/1/2016,6132,4.460000038,4.460000038,0,0.239999995,0.99000001,3.230000019,0,3,24,146,908,2696,1,274,469
1644430081,5/2/2016,3758,2.730000019,2.730000019,0,0.07,0.310000002,2.349999905,0,1,7,148,682,2580,2,295,456
1644430081,5/3/2016,12850,9.340000153,9.340000153,0,0.720000029,4.090000153,4.539999962,0,10,94,221,1115,3324,1,291,397
1644430081,5/4/2016,2309,1.679999948,1.679999948,0,0,0,1.659999967,0.02,0,0,52,1388,2222,1,424,556
1644430081,5/5/2016,4363,3.190000057,3.190000057,0,0.519999981,0.540000021,2.130000114,0.01,6,12,81,1341,2463,1,283,510
1644430081,5/6/2016,9787,7.119999886,7.119999886,0,0.819999993,0.270000011,6.010000229,0.02,11,6,369,1054,3328,1,381,566
1644430081,5/7/2016,13372,9.720000267,9.720000267,0,3.25999999,0.790000021,5.670000076,0.01,41,17,243,1139,3404,2,412,522
1644430081,5/8/2016,6724,4.889999866,4.889999866,0,0,0,4.880000114,0,0,0,295,991,2987,1,219,395
1644430081,5/9/2016,6643,4.829999924,4.829999924,0,2.390000105,0.349999994,2.089999914,0.01,32,6,303,1099,3008,2,152,305
